Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,rate,SAP DocEntry
SUCCESS,H1,20231215,20231215,20231229.0,WHEATCLIENTS,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33323,CF16,FOOD2B,100011631,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,"-1,551.42","-86,957.15",,5,0.0,,56.05,
SUCCESS,H1,20231215,20231215,20231229.0,WHEATCLIENTS,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33323,CF16,FOOD2B,100011634,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,"-1,241.14","-69,565.72",,5,0.0,,56.05,
SUCCESS,H1,20231215,20231215,20231229.0,WHEATCLIENTS,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33323,CF16,FOOD2B,100011636,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,"-1,551.42","-86,957.15",,5,0.0,,56.05,
SUCCESS,H1,20231213,20231213,,10-12M/2023,B550,MARUBENI CORPORATION PETROLEUM DEPT.-2,30212,CD12,PET2,100011559,R&D-10M-12M/2023,,SERVICE,,,,2,USD,"-55,333.34","-3,079,300.37",,5,0.0,,55.65,
SUCCESS,H1,20231213,20231213,,10-12M/2023,B6G0,MARUBENI CORPORATION LNG PROJECT DEPT.,30212,CD14,PET4,100011560,R&D-10M-12M/2023,,SERVICE,,,,2,USD,"-1,666.68","-92,750.74",,5,0.0,,55.65,
SUCCESS,H1,20231214,20231214,,MIGS_LICFEE,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011606,migs Lic_fee3Q,,LRT2,,,,2,PHP,"-10,171.48","-10,171.48",,5,0.0,,,
SUCCESS,H1,20231214,20231214,,MIGS_LICFEE,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011605,migs lic_fee3rdQ,,100011605,,,,2,PHP,"-10,171.48","-10,171.48",,5,0.0,,,
SUCCESS,H1,20231215,20231215,20240112.0,PO2312095142,PI069,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100011637,IPI SALES FOR DEC#02,,IBIDEN,,,,2,USD,"-2,841.20","-159,249.26",,5,0.0,,56.05,
SUCCESS,H1,20231218,20231218,,SEC FEE11M23,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011642,sec_fee 11m2023,,100011642,,,,2,PHP,"-5,384.21","-5,384.21",,5,0.0,,,
SUCCESS,H1,20231218,20231218,,SEC FEE11M23,PM175,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,33323,HB02,ADMI,100011643,sec_fee 11m2023,,100011643,,,,2,PHP,"-4,909.85","-4,909.85",,5,0.0,,,
SUCCESS,H1,20231218,20231218,20231229.0,MPLAX CLIENT,MJ028,MARUBENI PLAX CORP.,33323,CA19,CHM9,100011644,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,-282.77,"-15,778.58",,5,0.0,,55.8,
SUCCESS,H1,20231218,20231218,20231229.0,CLS CLIENTS,S434V,CLS CORPORATION,33323,CG12,LFS3,100011645,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,-355.1,"-19,814.64",,5,0.0,,55.8,
SUCCESS,H1,20231219,20231219,,MIGS NW12M23,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011664,migs nw 12m2023,,MCMB,,,,2,PHP,"-2,834.91","-2,834.91",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,MIGS NW12M23,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011665,migs nw 12m2023,,LRT2,,,,2,PHP,"-2,834.91","-2,834.91",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,MIGS NW12M23,4Q04P,MCNK JV CORPORATION,33323,HB02,ADMI,100011666,migs nw 12m2023,,100011666,,,,2,PHP,"-11,339.64","-11,339.64",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,GUESTWIFI12M,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011667,GUESTWIFI 12m2023,,MCMB,,,,2,PHP,-528.76,-528.76,,5,0.0,,,
SUCCESS,H1,20231219,20231219,,GUESTWIFI12M,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011668,GUESTWIFI 12m2023,,LRT2,,,,2,PHP,"-3,701.32","-3,701.32",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,GUESTWIFI12M,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011669,GUESTWIFI 12m2023,,100011669,,,,2,PHP,"-1,057.52","-1,057.52",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,MIGS NW12M23,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011671,migs nw 12m2023,,100011671,,,,2,PHP,"-11,339.64","-11,339.64",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,OCS 10M2023,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011672,ocs 10m2023,,MCMB,,,,2,PHP,"-1,550.00","-1,550.00",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,MIGS_LICFEE,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011674,migs Lic_fee3Q,,100011674,,,,2,PHP,"-40,685.93","-40,685.93",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,MIGSSEVFEE3Q,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011675,migs servFee_3Q,,100011675,,,,2,PHP,"-1,012.12","-1,012.12",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,MIGSSEVFEE3Q,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011676,migs servFee_3Q,,LRT2,,,,2,PHP,"-1,012.12","-1,012.12",,5,0.0,,,
