Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,SAP Doc Entry,SAP Obj Type,rate
CHECK,QO,2023-12-28,2023-12-28,2023-12-28,-,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100011843,RENTAL DEC2023 BS206,NCHB033Z0023,669699,nan,,4Q07H,1,PHP,21400.0,21400.0,"10706, 10706",13,1
SUCCESS,QO,2023-12-28,2023-12-28,2023-12-28,,4Q07H-C,"MARUBENI AUTO HOLDINGS PHILIPPINES, INC.",11310,HB02,ADMI,100011843,RENTAL DEC2023 BS206,,100011843,100011843,20231228.0,,2,PHP,-22400.0,-22400.0,"10706, 10706",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012065,"BS76, BS147, BS235",NEMA11410001,100012065,100012632,20231229.0,4Q958,1,USD,10427.5,579247.63,"10579, 10697, 10781, 10579, 10697, 10781",13,55.71072
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,4Q958-C,SAN ROQUE POWER CORP -,33333,MA11,MAC1,100012065,"BS76, BS147, BS235",NEMA11410001,100012065,nan,,,2,USD,0.0,1275.67,"10579, 10697, 10781, 10579, 10697, 10781",13,55.71072
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q958-C,SAN ROQUE POWER CORP -,11310,MA11,MAC1,100012065,"BS76, BS147, BS235",,100012065,100012065,20231229.0,,3,USD,-12040.0,-672032.68,"10579, 10697, 10781, 10579, 10697, 10781",13,55.71072
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,MCB-C,"MIZUHO BANK, LTD.",10120,HA01,HQ,100012264,CI3753-54,NECC17410001,100012264,100012622,20231229.0,PI003,1,PHP,16437.48,16437.48,"10636, 10637, 10636, 10637",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,PI003-C,"ISHIDA PHILIPPINES GRATING CO., INC.",11310,CC17,MET6,100012264,CI3753-54,,100012264,100012264,20231229.0,,2,PHP,-19338.21,-19338.21,"10636, 10637, 10636, 10637",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012265,BS180,NECA18410001,100012265,100012632,20231229.0,MZ320,1,USD,775.2,43062.36,"10733, 10733",13,55.55
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,MZ320-C,MARUBENI ASEAN PTE. LTD.,33333,CA18,CHM8,100012265,BS180,NECA18410001,100012265,nan,,,2,USD,0.0,-116.28,"10733, 10733",13,55.55
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,MZ320-C,MARUBENI ASEAN PTE. LTD.,11310,CA18,CHM8,100012265,BS180,,100012265,100012265,20231229.0,,3,USD,-775.2,-42946.08,"10733, 10733",13,55.55
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012266,BS248,NECF16410001,100012266,100012632,20231229.0,6D024,1,USD,812.24,45119.93,"10794, 10794",13,55.55906
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,6D024-C,"COLUMBIA GRAIN INTERNATIONAL, LLC",33331,CF16,FOOD2B,100012266,BS248,NECF16410001,100012266,nan,,,2,USD,0.0,406.28,"10794, 10794",13,55.55906
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,6D024-C,"COLUMBIA GRAIN INTERNATIONAL, LLC",14112,CF16,FOOD2B,100012266,BS248,,100012266,100012266,20231229.0,,3,USD,-827.24,-46366.96,"10794, 10794",13,55.55906
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012267,BS21,NECA19410001,100012267,100012632,20231229.0,MJ028,1,USD,907.5,50411.63,"10630, 10630",13,55.57277
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,MJ028-C,MARUBENI PLAX CORP.,33333,CA19,CHM9,100012267,BS21,NECA19410001,100012267,nan,,,2,USD,0.0,1270.5,"10630, 10630",13,55.57277
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,MJ028-C,MARUBENI PLAX CORP.,11310,CA19,CHM9,100012267,BS21,,100012267,100012267,20231229.0,,3,USD,-922.5,-52536.38,"10630, 10630",13,55.57277
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012268,BS26,NECC15410001,100012268,100012632,20231229.0,MJ006,1,USD,2579.01,143264.01,"10635, 10635",13,55.55
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,MJ006-C,MARUBENI TETSUGEN,33333,CC15,MET4,100012268,BS26,NECC15410001,100012268,nan,,,2,USD,0.0,3610.6,"10635, 10635",13,55.55
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,MJ006-C,MARUBENI TETSUGEN,11310,CC15,MET4,100012268,BS26,,100012268,100012268,20231229.0,,3,USD,-2579.01,-146874.61,"10635, 10635",13,55.55
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012269,BS65,NECA19410002,100012269,100012632,20231229.0,MJ028,1,USD,240.56,13363.11,"10568, 10568",13,55.55001
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,MJ028-C,MARUBENI PLAX CORP.,33331,CA19,CHM9,100012269,BS65,NECA19410002,100012269,nan,,,2,USD,0.0,336.89,"10568, 10568",13,55.55001
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,MJ028-C,MARUBENI PLAX CORP.,14112,CA19,CHM9,100012269,BS65,,100012269,100012269,20231229.0,,3,USD,-240.56,-13700.0,"10568, 10568",13,55.55001
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012271,BS178 1018,NECC18410001,100012271,100012632,20231229.0,MJ037,1,USD,1646.88,91484.18,"10731, 10731",13,55.55
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,MJ037-C,"MARUBENI ECO MATERIALS CO., LTD.",33333,CC18,MET7,100012271,BS178 1018,NECC18410001,100012271,nan,,,2,USD,0.0,718.5699999999999,"10731, 10731",13,55.55
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,MJ037-C,"MARUBENI ECO MATERIALS CO., LTD.",11310,CC18,MET7,100012271,BS178 1018,,100012271,100012271,20231229.0,,3,USD,-1646.88,-92202.75,"10731, 10731",13,55.55
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012272,BS20 179,NECA12410001,100012272,100012632,20231229.0,MZ320,1,USD,1092.0,60660.6,"10629, 10732, 10629, 10732",13,55.55
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,MZ320-C,MARUBENI ASEAN PTE. LTD.,33333,CA12,CHM2,100012272,BS20 179,NECA12410001,100012272,nan,,,2,USD,0.0,561.6,"10629, 10732, 10629, 10732",13,55.55
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,MZ320-C,MARUBENI ASEAN PTE. LTD.,11310,CA12,CHM2,100012272,BS20 179,,100012272,100012272,20231229.0,,3,USD,-1092.0,-61222.2,"10629, 10732, 10629, 10732",13,55.55
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012273,BS182 255 270,NECG12410001,100012273,100012632,20231229.0,S434V,1,USD,5860.83,325569.11,"10735, 10801, 10816, 10735, 10801, 10816",13,55.55
TRANSFER,QO,2023-12-29,2023-12-29,2023-12-29,,S434V-C,CLS CORPORATION,33331,CG12,LFS3,100012273,BS182 255 270,NECG12410001,100012273,nan,,,2,USD,0.0,-679.27,"10735, 10801, 10816, 10735, 10801, 10816",13,55.55
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,S434V-C,CLS CORPORATION,33331,CG12,LFS3,100012273,BS182 255 270,NECG12410001,100012273,nan,,,3,USD,0.0,-679.27,"10735, 10801, 10816, 10735, 10801, 10816",13,55.55
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,S434V-C,CLS CORPORATION,11310,CG12,LFS3,100012273,BS182 255 270,,100012273,100012273,20231229.0,,4,USD,-5860.83,-324889.84,"10735, 10801, 10816, 10735, 10801, 10816",13,55.55
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012274,BS11 168 225,NECA19410003,100012274,100012632,20231229.0,MJ028,1,USD,4250.0,236087.5,"10620, 10721, 10771, 10620, 10721, 10771",13,55.55
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,MJ028-C,MARUBENI PLAX CORP.,33333,CA19,CHM9,100012274,BS11 168 225,NECA19410003,100012274,nan,,,2,USD,0.0,1416.6799999999998,"10620, 10721, 10771, 10620, 10721, 10771",13,55.55
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,MJ028-C,MARUBENI PLAX CORP.,11310,CA19,CHM9,100012274,BS11 168 225,,100012274,100012274,20231229.0,,3,USD,-4250.0,-237504.18,"10620, 10721, 10771, 10620, 10721, 10771",13,55.55
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012277,STTLMNT_BS.000000120,NEMC14410001,100012277,100012632,20231229.0,MJ038,1,USD,80.65,4480.11,"10670, 10670",13,55.55003
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,MJ038-C,MARUBENI PROTECHS CORPORATION,33331,MC14,MAC14,100012277,STTLMNT_BS.000000120,NEMC14410001,100012277,nan,,,2,USD,0.0,19.89,"10670, 10670",13,55.55003
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,MJ038-C,MARUBENI PROTECHS CORPORATION,14112,MC14,MAC14,100012277,STTLMNT_BS.000000120,,100012277,100012277,20231229.0,,3,USD,-80.65,-4500.0,"10670, 10670",13,55.55003
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012283,BS000000203,NEHB02410001,100012283,100012620,20231229.0,PM175,1,PHP,73672.45,73672.45,"10703, 10703",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,PM175-C,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,11310,HB02,ADMI,100012283,BS000000203,,100012283,100012283,20231229.0,,2,PHP,-77115.09,-77115.09,"10703, 10703",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012284,BS000000253,NEHB02410002,100012284,100012620,20231229.0,PM175,1,PHP,5400.83,5400.83,"10799, 10799",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,PM175-C,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,14112,HB02,ADMI,100012284,BS000000253,,100012284,100012284,20231229.0,,2,PHP,-5499.04,-5499.04,"10799, 10799",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012285,BS000000003/193/269,NEHB02410003,100012285,100012620,20231229.0,4Q04P,1,PHP,2625790.0,2625790.0,"10607, 10746, 10815, 10607, 10746, 10815",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,11310,MB11,MAC2,100012285,BS000000003/193/269,,100012285,100012285,20231229.0,,2,PHP,-3031840.0,-3031840.0,"10607, 10746, 10815, 10607, 10746, 10815",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012290,BS000000139,NEHB02410005,100012290,100012620,20231229.0,4Q04P,1,PHP,1265.93,1265.93,"10689, 10689",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100012290,BS000000139,,100012290,100012290,20231229.0,,2,PHP,-1288.94,-1288.94,"10689, 10689",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012291,BS000000142,NEHB02410006,100012291,100012620,20231229.0,4Q04P,1,PHP,2210.22,2210.22,"10692, 10692",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100012291,BS000000142,,100012291,100012291,20231229.0,,2,PHP,-2250.4,-2250.4,"10692, 10692",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012292,BS000000145,NEHB02410007,100012292,100012620,20231229.0,4Q04P,1,PHP,12932.76,12932.76,"10695, 10695",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100012292,BS000000145,,100012292,100012292,20231229.0,,2,PHP,-13167.9,-13167.9,"10695, 10695",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012293,BS000000275,NEHB02410008,100012293,100012620,20231229.0,4Q04P,1,PHP,4453.05,4453.05,"10821, 10821",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100012293,BS000000275,,100012293,100012293,20231229.0,,2,PHP,-4534.02,-4534.02,"10821, 10821",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012294,BS000000261,NEHB02410009,100012294,100012620,20231229.0,4Q04P,1,PHP,1163.27,1163.27,"10807, 10807",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100012294,BS000000261,,100012294,100012294,20231229.0,,2,PHP,-1184.42,-1184.42,"10807, 10807",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012295,BS000000262,NEHB02410010,100012295,100012620,20231229.0,4Q04P,1,PHP,12473.6,12473.6,"10808, 10808",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100012295,BS000000262,,100012295,100012295,20231229.0,,2,PHP,-12700.4,-12700.4,"10808, 10808",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012296,BS000000156,NEHB02410011,100012296,100012620,20231229.0,4Q04P,1,PHP,24961.0,24961.0,"10709, 10709",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100012296,BS000000156,,100012296,100012296,20231229.0,,2,PHP,-25414.84,-25414.84,"10709, 10709",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BDO-C,BANCO DE ORO AYALA - LOCSIN BRANCH,10120,HA01,HQ,100012297,BS000000271,NEHB02410012,100012297,100012620,20231229.0,4Q04P,1,PHP,31496.62,31496.62,"10817, 10817",13,1
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100012297,BS000000271,,100012297,100012297,20231229.0,,2,PHP,-32069.29,-32069.29,"10817, 10817",13,1
CHECK,QO,2023-12-29,2023-12-29,2023-12-29,,BT2-C,"MUFG BANK, LTD.",10131,HA01,HQ,100012367,,NECD12410064,100012367,100012632,20231229.0,M186J,1,USD,4577.23,254265.13,"10646, 10646",13,56.82705
CASH,QO,2023-12-29,2023-12-29,2023-12-29,,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",33331,CD12,PET2,100012367,,NECD12410064,100012367,nan,,,2,USD,0.0,6408.12,"10646, 10646",13,56.82705
SUCCESS,QO,2023-12-29,2023-12-29,2023-12-29,,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100012367,,,100012367,100012367,20231229.0,,3,USD,-52119.06,-2968180.47,"10646, 10646",13,56.82705
